ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,main_focal_year,HRAF_name_ID,HRAF_ID ,region,comment,,  
C59,Lengua ,-23,-59,nort2971,Lengua,xd1396,,Enxet And Enlhet (SK15),SK15,Southern South America,,,
C60,Karankawa,29,-96,kara1289,Karankawa,xd1215,,,,South-Central U.S.A.,,,
C61,"Yolngu, Dhuwal",-12.48,135.96,dhuw1249,Murngin,xd777,,Yolngu (OI17),OI17,Australia,,,
C62,Tasiilaq,66,-37,tunu1234,Ammassalik Eskimo,xd1040,,,,Subarctic America ,,,
C63,Amahuaca,-10,-72,amah1246,Amahuaca,xd1372,,Amahuaca (SE06),SE06,Western South America ,,,
C64,Andamanese ,12,93,akab1249,Andamanese,xd686,,Andamans (AZ02) ,AZ02,Indo-China,,,
C65,Vedda ,8,81,vedd1240,Vedda,xd690,,Vedda (AX05) ,AX05,Indian Subcontinent ,,,
C66,Pitjantjatjara,-26,130,pitj1243,Pitjantjatjara,xd967,,,,Australia ,,,
C67,!Kung ,-20,21,juho1239,Bushmen (NW groups),xd1,,San (FX10) ,FX10,Southern Africa ,,,
C68,Semang,5,101,kens1248,Semang,xd725,,Semang (AN07) ,AN07,Malesia,,,
C69,Sirionó,-16,-64,siri1273,Sirionó,xd1362,,Sirionó (SF21) ,SF21,Western South America,,,
C70,Ona ,-54,-69,onaa1245,Ona,xd1385,,Ona (SH04) ,SH04,Southern South America,,,
C71,Tasmanians,-42,146,port1278,Tasmanians,xd783,,Tasmanians (OI19) ,OI19 ,Australia,"Not specified whether ""Northwestern (xd783)"" or ""Southeastern (xd980)"", but matched to EA - Tasmanians (Id8) (xd783)",,
C72,Alacaluf ,-52,-74,qawa1238,Alacaluf,xd1387,,,,Southern South America,,,
C73,Zulu,-29,31,zulu1248,Zulu (Tsaka Classic),xd13,,Zulu (FX20),FX20,Southern Africa,,,
C74,Eauripik,6.69,143.04,wole1240,Eauripik,,,,,Northwestern Pacific ,,,
C75,Klallam,48,-123,clal1241,Klallam,xd1075,,,,Northwestern U.S.A. ,,,
C76,Seri,29,-112,seri1257,Seri,xd1289,,Seri (NU31),NU31,Mexico,,,
C77,Agta (Casiguran),17.33,122.13,casi1235,Agta (NE Luzon),xd906,,,,Malesia,The main source (Tom N. Headland) studied Casiguran Agta,,
C78,Dene,60,-105,chip1261,Chipewyan,xd1046,,Chipewyans (ND07),ND07,Subarctic America ,,,
