ID,Var_ID,Name,Description,ord
123-0,123,absent,absent,0
123-1,123,present,present,1
124-0,124,absent,absent,0
124-1,124,present,present,1
125-0,125,absent,absent,0
125-1,125,present,present,1
126-0,126,absent,absent,0
126-1,126,present,present,1
127-0,127,absent,absent,0
127-1,127,present,present,1
128-0,128,absent,absent,0
128-1,128,present,present,1
129-0,129,absent,absent,0
129-1,129,present,present,1
130-0,130,absent,absent,0
130-1,130,present,present,1
131-0,131,absent,absent,0
131-1,131,present,present,1
132-0,132,absent,absent,0
132-1,132,present,present,1
133-0,133,absent,absent,0
133-1,133,present,present,1
134-0,134,absent,absent,0
134-1,134,present,present,1
135-0,135,absent,absent,0
135-1,135,present,present,1
136-0,136,absent,absent,0
136-1,136,present,present,1
137-0,137,absent,absent,0
137-1,137,present,present,1
138-0,138,absent,absent,0
138-1,138,present,present,1
139-0,139,absent,absent,0
139-1,139,present,present,1
140-0,140,absent,absent,0
140-1,140,present,present,1
141-0,141,absent,absent,0
141-1,141,present,present,1
142-0,142,absent,absent,0
142-1,142,present,present,1
143-0,143,absent,absent,0
143-1,143,present,present,1
144-0,144,absent,absent,0
144-1,144,present,present,1
145-0,145,absent,absent,0
145-1,145,present,present,1
146-0,146,absent,absent,0
146-1,146,present,present,1
147-0,147,absent,absent,0
147-1,147,present,present,1
148-0,148,absent,absent,0
148-1,148,present,present,1
149-0,149,absent,absent,0
149-1,149,present,present,1
150-0,150,absent,absent,0
150-1,150,present,present,1
151-0,151,absent,absent,0
151-1,151,present,present,1
152-0,152,absent,absent,0
152-1,152,present,present,1
153-0,153,absent,absent,0
153-1,153,present,present,1
154-0,154,absent,absent,0
154-1,154,present,present,1
155-0,155,absent,absent,0
155-1,155,present,present,1
156-0,156,absent,absent,0
156-1,156,present,present,1
157-0,157,absent,absent,0
157-1,157,present,present,1
158-0,158,absent,absent,0
158-1,158,present,present,1
159-0,159,absent,absent,0
159-1,159,present,present,1
160-0,160,absent,absent,0
160-1,160,present,present,1
161-0,161,absent,absent,0
161-1,161,present,present,1
162-0,162,absent,absent,0
162-1,162,present,present,1
163-0,163,absent,absent,0
163-1,163,present,present,1
164-0,164,absent,absent,0
164-1,164,present,present,1
165-0,165,absent,absent,0
165-1,165,present,present,1
166-0,166,absent,absent,0
166-1,166,present,present,1
167-0,167,absent,absent,0
167-1,167,present,present,1
168-0,168,absent,absent,0
168-1,168,present,present,1
169-0,169,absent,absent,0
169-1,169,present,present,1
170-0,170,absent,absent,0
170-1,170,present,present,1
171-0,171,absent,absent,0
171-1,171,present,present,1
172-0,172,absent,absent,0
172-1,172,present,present,1
173-0,173,absent,absent,0
173-1,173,present,present,1
174-0,174,absent,absent,0
174-1,174,present,present,1
175-0,175,absent,absent,0
175-1,175,present,present,1
176-0,176,absent,absent,0
176-1,176,present,present,1
177-0,177,absent,absent,0
177-1,177,present,present,1
178-0,178,absent,absent,0
178-1,178,present,present,1
179-0,179,absent,absent,0
179-1,179,present,present,1
180-0,180,absent,absent,0
180-1,180,present,present,1
181-0,181,absent,absent,0
181-1,181,present,present,1
182-0,182,absent,absent,0
182-1,182,present,present,1
183-0,183,absent,absent,0
183-1,183,present,present,1
184-0,184,absent,absent,0
184-1,184,present,present,1
185-0,185,absent,absent,0
185-1,185,present,present,1
186-0,186,absent,absent,0
186-1,186,present,present,1
187-0,187,absent,absent,0
187-1,187,present,present,1
188-0,188,absent,absent,0
188-1,188,present,present,1
189-0,189,absent,absent,0
189-1,189,present,present,1
190-0,190,absent,absent,0
190-1,190,present,present,1
191-0,191,absent,absent,0
191-1,191,present,present,1
192-0,192,absent,absent,0
192-1,192,present,present,1
193-0,193,absent,absent,0
193-1,193,present,present,1
194-0,194,absent,absent,0
194-1,194,present,present,1
195-0,195,absent,absent,0
195-1,195,present,present,1
196-0,196,absent,absent,0
196-1,196,present,present,1
197-0,197,absent,absent,0
197-1,197,present,present,1
198-0,198,absent,absent,0
198-1,198,present,present,1
199-0,199,absent,absent,0
199-1,199,present,present,1
200-0,200,absent,absent,0
200-1,200,present,present,1
201-0,201,absent,absent,0
201-1,201,present,present,1
202-0,202,absent,absent,0
202-1,202,present,present,1
203-0,203,absent,absent,0
203-1,203,present,present,1
204-0,204,absent,absent,0
204-1,204,present,present,1
205-0,205,absent,absent,0
205-1,205,present,present,1
206-0,206,absent,absent,0
206-1,206,present,present,1
207-0,207,absent,absent,0
207-1,207,present,present,1
208-0,208,absent,absent,0
208-1,208,present,present,1
209-0,209,absent,absent,0
209-1,209,present,present,1
210-0,210,absent,absent,0
210-1,210,present,present,1
